@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
272,'2019/10/24 13:18:55:073',9,-8156019,-7893103,-7695980,-7564394,-7235943,-6973285,-6973543,-7039081,-7237232,-7236718,-8419190,-7959151,-7498601,-6775391,-5986389,-5591889,-6646121,-8361400,-10006215,-9806248,-7761515,-7301220,-6775133,-6380887,-5920594,-5592143,-6053210,-9477541,-10201006,-10529199,-7696492,-7236196,-6709853,-6249814,-5789777,-5592399,-5395021,-5395279,-5460819,-5855833,-7696750,-7170660,-6578781,-6184022,-5658448,-5395277,-5197899,-5132364,-5922139,-9672856,-7697009,-7105384,-6513503,-6118744,-7106669,-6780534,-5530980,-5133651,-7504002,-10528939,-7960438,-7697522,-6908263,-6645090,-11384504,-10140352,-8563118,-8431278,-9482426,-10464948,-7828851,-7368557,-6908262,-6513504,-7566450,-10791337,-10266022,-8423047,-8949135,-11515579,-8026232,-7631730,-7303021,-6974313,-6842727,-6777192,-7040108,-7435122,-7566709,-9145742,-8289661,-8026488,-7697780,-7566194,-7434865,-7500402,-7829624,-8553348,-8948106,-9276815,3
273,'2019/10/24 13:18:55:073',9,-8156019,-7893103,-7695980,-7564394,-7235943,-6973286,-6973543,-6973544,-7171181,-7236717,-8419190,-7958896,-7498601,-6775391,-6051925,-5591888,-6777708,-7966129,-10005695,-9345183,-7695979,-7301220,-6775133,-6380888,-5920850,-5592143,-6448226,-9741232,-10530485,-10726579,-7696492,-7235940,-6709853,-6249815,-5789777,-5592399,-5395277,-5395279,-5461075,-5856090,-7696750,-7105125,-6578781,-6184023,-5658192,-5395276,-5197899,-5132364,-5922395,-9672857,-7697008,-7105385,-6513502,-6118744,-7106670,-6780535,-5530980,-5133651,-7504002,-10528938,-7960438,-7697522,-6908263,-6645090,-11384761,-10205888,-8563118,-8431535,-9547963,-10399412,-7828851,-7368556,-6908262,-6513505,-7566450,-10791337,-10200486,-8357510,-8949135,-11450042,-8026232,-7631730,-7303021,-6974313,-6842727,-6777192,-7040107,-7435122,-7566709,-9145742,-8289661,-7960952,-7697780,-7566194,-7434865,-7434866,-7829624,-8619140,-8948106,-9276815,3
274,'2019/10/24 13:18:55:073',9,-8156275,-7893103,-7695980,-7564393,-7170407,-6907750,-6973287,-6973288,-7105131,-7170924,-8419190,-7959152,-7433064,-6775391,-6051925,-5591889,-6251106,-6977935,-8952229,-8423308,-7761515,-7301220,-6775133,-6380888,-5920595,-5592143,-6844013,-10137548,-11189706,-11319744,-7696492,-7235940,-6644317,-6249814,-5789777,-5592398,-5395277,-5461073,-5526869,-5987676,-7696750,-7105125,-6578781,-6184279,-5658192,-5395277,-5198155,-5132364,-5987932,-9738650,-7697009,-7105385,-6513503,-6184280,-7172463,-6780535,-5465444,-5133651,-7504259,-10463403,-8025974,-7697523,-6908262,-6645090,-11384761,-10337217,-8628912,-8497328,-9613755,-10465204,-7828851,-7368557,-6908261,-6513504,-7500914,-10791081,-10200230,-8357254,-8883342,-11515834,-8026232,-7631730,-7303021,-6974313,-6842727,-6842728,-7040108,-7435122,-7566709,-9145486,-8289405,-7960696,-7697780,-7500658,-7434865,-7500402,-7829624,-8553604,-8948106,-9276815,3
275,'2019/10/24 13:18:55:073',9,-8156275,-7893103,-7695979,-7564394,-7235943,-6907750,-6973287,-6973287,-7105131,-7236461,-8419190,-7958896,-7433064,-6775391,-5986389,-5591889,-6053470,-6845830,-8688802,-8357516,-7761515,-7301220,-6775134,-6380888,-5920594,-5592143,-6646376,-10203597,-11189965,-11451332,-7696492,-7235940,-6709852,-6249814,-5789777,-5592398,-5395277,-5461074,-5526869,-5987420,-7696751,-7170661,-6578781,-6184023,-5658447,-5395276,-5198155,-5132364,-5922396,-9672857,-7697009,-7105385,-6513503,-6118744,-7172463,-6780535,-5465444,-5133651,-7504002,-10528939,-8025974,-7697522,-6908262,-6645090,-11450296,-10337217,-8694448,-8562864,-9613755,-10465205,-7828852,-7368556,-6908261,-6513505,-7500914,-10791081,-10200229,-8357254,-8817805,-11450042,-8026488,-7631730,-7303021,-7039849,-6842727,-6777191,-7040107,-7435122,-7566709,-9079949,-8289405,-7960953,-7697780,-7566194,-7434866,-7500402,-7829624,-8618884,-8948106,-9276815,3
276,'2019/10/24 13:18:55:073',9,-8090483,-7893102,-7695979,-7564393,-7170663,-6907749,-6973287,-6973287,-7105131,-7236461,-8419190,-7959151,-7433064,-6775391,-5986389,-5591888,-5987419,-6780035,-8557475,-8555152,-7695979,-7301220,-6775389,-6380888,-5920850,-5592143,-6316897,-10203337,-10992589,-11451588,-7696491,-7235940,-6644316,-6249814,-5789777,-5592398,-5395277,-5461073,-5526869,-5921883,-7696750,-7170661,-6578781,-6184278,-5658448,-5395276,-5197899,-5132363,-5922139,-9607320,-7697008,-7171176,-6513247,-6184280,-7172463,-6780535,-5465444,-5133651,-7438466,-10463402,-7960438,-7697522,-6908262,-6645090,-11384504,-10337473,-8694448,-8562863,-9613756,-10465204,-7828852,-7368557,-6908261,-6513760,-7500913,-10791080,-10200229,-8357254,-8883341,-11515578,-8026231,-7631730,-7303021,-6974313,-6842727,-6777191,-7040107,-7435123,-7566709,-9079949,-8289661,-7960952,-7697780,-7566194,-7434866,-7500402,-7829624,-8619140,-8948106,-9276815,3
277,'2019/10/24 13:18:55:073',9,-8156019,-7893103,-7695980,-7564394,-7170407,-6973286,-6973287,-6973287,-7105131,-7236461,-8353654,-8024688,-7433064,-6775391,-5986389,-5591888,-5921626,-6977413,-8557738,-8950167,-7695979,-7301220,-6775133,-6380888,-5920851,-5592143,-5921881,-10071232,-10663369,-11320002,-7696492,-7235940,-6709852,-6249814,-5789776,-5592398,-5395277,-5461073,-5526868,-5921627,-7696750,-7170661,-6578781,-6184278,-5658448,-5395276,-5198155,-5132364,-5856603,-9541527,-7697008,-7170921,-6513503,-6118744,-7172462,-6780791,-5530981,-5133652,-7372929,-10463146,-7960438,-7697522,-6973798,-6645090,-11384504,-10337473,-8694704,-8562864,-9548219,-10465461,-7828851,-7368557,-6908261,-6513505,-7500657,-10725544,-10200229,-8357254,-8883341,-11450042,-8026232,-7631730,-7303021,-6974313,-6842727,-6777191,-7040107,-7435122,-7566709,-9145485,-8289661,-7960697,-7697780,-7566194,-7434865,-7434866,-7829624,-8553348,-8948106,-9276815,3
278,'2019/10/24 13:18:55:073',9,-8090483,-7893102,-7695979,-7498857,-7170407,-6907750,-6973287,-6973287,-7105131,-7170925,-8353654,-7959152,-7433064,-6775391,-5986389,-5591888,-5855833,-7372428,-8689844,-9477028,-7761515,-7301220,-6775133,-6380887,-5920594,-5592143,-5592402,-9807282,-10202817,-11122109,-7696492,-7236196,-6709853,-6249815,-5789777,-5592399,-5395277,-5395280,-5461076,-5855833,-7696750,-7170660,-6578781,-6184022,-5658448,-5395277,-5197899,-5132364,-5856346,-9541270,-7697008,-7105385,-6513247,-6118744,-7106927,-6780791,-5530981,-5133652,-7372673,-10397609,-8025974,-7697522,-6908263,-6645090,-11384504,-10403009,-8694704,-8562864,-9548219,-10465205,-7828852,-7368557,-6908261,-6513505,-7500657,-10725544,-10200229,-8357253,-8817805,-11450042,-8026232,-7697266,-7303021,-7039849,-6842727,-6842728,-7040107,-7435122,-7566709,-9145485,-8289661,-7960952,-7697780,-7500658,-7434865,-7500402,-7829624,-8618884,-8948106,-9276814,3
279,'2019/10/24 13:18:55:073',9,-8156275,-7893102,-7695979,-7564650,-7235943,-6973285,-6973287,-6973288,-7105389,-7236718,-8419190,-7959152,-7433064,-6775391,-6051924,-5591888,-5789782,-7899544,-8821697,-10069937,-7761515,-7301220,-6775133,-6380887,-5920851,-5526607,-5460815,-9345439,-10004406,-10792885,-7696492,-7236196,-6709852,-6249814,-5855313,-5592398,-5329485,-5395279,-5460819,-5790296,-7762286,-7170661,-6578781,-6184278,-5658448,-5395276,-5198155,-5132364,-5856346,-9475477,-7697008,-7105384,-6513502,-6118744,-7172462,-6780791,-5530981,-5133651,-7372673,-10397353,-7960438,-7697522,-6908262,-6645090,-11318711,-10403010,-8694704,-8497328,-9548220,-10399669,-7828851,-7368556,-6908261,-6513761,-7435120,-10725287,-10134437,-8291461,-8817805,-11450042,-8026232,-7631730,-7303021,-7039850,-6842727,-6777191,-7040107,-7435122,-7566709,-9145485,-8289661,-7960952,-7697780,-7500658,-7434865,-7434866,-7829624,-8619140,-8948106,-9276815,3
280,'2019/10/24 13:18:55:073',9,-8156019,-7893102,-7761515,-7564394,-7235943,-6973286,-6973287,-6973544,-7171696,-7368304,-8419190,-8024687,-7498600,-6775391,-5986389,-5591888,-5658196,-8623781,-9085392,-10662589,-7761515,-7301220,-6775133,-6380888,-5920595,-5526351,-5395022,-8686735,-9608871,-10397356,-7696492,-7236196,-6644316,-6249815,-5789777,-5592399,-5329485,-5329487,-5395282,-5724504,-7696750,-7170661,-6578781,-6184278,-5723728,-5395276,-5197899,-5132364,-5790810,-9475221,-7697008,-7170921,-6513247,-6118744,-7172463,-6846327,-5531237,-5133651,-7372417,-10397353,-7960438,-7697522,-6908262,-6645090,-11318711,-10403267,-8694704,-8562864,-9547963,-10465205,-7828851,-7368557,-6842725,-6513505,-7434864,-10659751,-10134436,-8291461,-8817805,-11450042,-8026232,-7631730,-7303021,-7039850,-6842727,-6777192,-7040107,-7435122,-7566709,-9145486,-8289661,-7960952,-7697780,-7500658,-7434865,-7500402,-7829624,-8619140,-8948106,-9276815,3
281,'2019/10/24 13:18:55:073',9,-8090739,-7893103,-7695979,-7498857,-7235943,-6907749,-6973287,-7039338,-7369334,-7631476,-8419190,-8024688,-7498600,-6775391,-5986389,-5591888,-5723732,-9413555,-9677532,-11057861,-7695979,-7301220,-6775389,-6380888,-5920850,-5592143,-5395022,-8094339,-9147545,-10002083,-7696492,-7236196,-6644316,-6249814,-5789777,-5592398,-5329484,-5329487,-5395282,-5724504,-7696750,-7105125,-6578781,-6184278,-5658192,-5395276,-5197899,-5132364,-5790810,-9475477,-7697008,-7170921,-6513247,-6184280,-7172719,-6780791,-5531238,-5133651,-7372673,-10397353,-7960438,-7697522,-6908262,-6645090,-11318711,-10403266,-8694704,-8562864,-9547962,-10399668,-7828852,-7368557,-6908261,-6513504,-7434864,-10593958,-10068900,-8291461,-8883341,-11450042,-8026232,-7631730,-7303021,-7039849,-6777191,-6842728,-7040107,-7435122,-7632245,-9145742,-8289661,-8026488,-7697780,-7566194,-7434866,-7500402,-7829624,-8619140,-8948106,-9276815,3
282,'2019/10/24 13:18:55:073',9,-8156019,-7893103,-7695980,-7498857,-7170407,-6973285,-6973543,-7171438,-7567229,-7763320,-8419190,-7958896,-7433064,-6775391,-5986389,-5591888,-5723990,-10071746,-10204128,-11320777,-7761515,-7301220,-6775389,-6380888,-5920594,-5592143,-5395022,-7764860,-8686736,-9672860,-7696492,-7301476,-6709852,-6249814,-5789777,-5592398,-5329484,-5329487,-5395282,-5724504,-7696750,-7170661,-6578781,-6118742,-5658192,-5395277,-5197899,-5132364,-5790810,-9475477,-7697008,-7170921,-6513247,-6184281,-7172719,-6846328,-5531238,-5133651,-7372673,-10331817,-7960438,-7697522,-6908262,-6645090,-11318711,-10403266,-8694704,-8562864,-9548219,-10399668,-7828851,-7368556,-6908262,-6513504,-7434864,-10593958,-10068643,-8291461,-8817805,-11450042,-8026232,-7631730,-7303021,-7039850,-6842727,-6777192,-7040108,-7435123,-7566709,-9145742,-8289405,-8026488,-7697780,-7566194,-7434866,-7500402,-7829624,-8619140,-8948106,-9276815,3
283,'2019/10/24 13:18:55:085',9,-8156275,-7893103,-7695980,-7564394,-7235943,-6973285,-7039080,-7368818,-7699331,-7763320,-8353654,-7958896,-7433064,-6775391,-6051925,-5591888,-5987162,-10466766,-10664417,-11386569,-7761515,-7301220,-6775389,-6380888,-5920850,-5592143,-5395022,-7699066,-8554635,-9409688,-7696492,-7235940,-6644316,-6249815,-5789777,-5592398,-5395021,-5329487,-5395282,-5790040,-7762286,-7170661,-6578781,-6184278,-5658448,-5395277,-5197899,-5132364,-5856347,-9541270,-7697008,-7170920,-6513247,-6118744,-7172719,-6780792,-5531238,-5133651,-7372673,-10397353,-7960438,-7697522,-6908263,-6645090,-11384503,-10468802,-8694705,-8562864,-9548219,-10399668,-7828851,-7368556,-6908261,-6513760,-7434864,-10593701,-10068643,-8291460,-8817805,-11450041,-8026232,-7631730,-7303021,-6974313,-6842727,-6842728,-7040108,-7435122,-7632245,-9145742,-8289661,-7960696,-7697780,-7566194,-7434865,-7500402,-7829624,-8619140,-8948106,-9276815,3
284,'2019/10/24 13:18:55:118',9,-8156019,-7893103,-7695979,-7498857,-7170407,-6973286,-7039337,-7369076,-7830916,-7631733,-8353654,-7958896,-7498600,-6775391,-5986389,-5591888,-6448228,-10467028,-10861789,-11320262,-7761515,-7301220,-6840669,-6446424,-5920594,-5592143,-5460815,-7830910,-8620428,-9409688,-7696492,-7235940,-6709853,-6249814,-5789777,-5592398,-5329484,-5329487,-5395282,-5790297,-7696750,-7170660,-6578781,-6184022,-5658192,-5395277,-5197899,-5132364,-5856603,-9541527,-7697008,-7170920,-6579039,-6118744,-7238256,-6781048,-5531238,-5133651,-7438209,-10397353,-7960438,-7697522,-6908262,-6645090,-11384503,-10468803,-8760241,-8562865,-9613756,-10399411,-7828852,-7368557,-6908262,-6513505,-7434864,-10528165,-10003106,-8225668,-8817805,-11450041,-8026232,-7631730,-7303021,-7039849,-6842727,-6777191,-7040107,-7435123,-7566709,-9145486,-8289405,-7960952,-7697781,-7500658,-7434865,-7500402,-7829624,-8619141,-8948106,-9276815,3
285,'2019/10/24 13:18:55:152',9,-8090483,-7893103,-7695980,-7564394,-7235943,-6973285,-7039337,-7237489,-7896193,-7434097,-8419190,-8024688,-7433064,-6775391,-5986389,-5591888,-7040623,-10072793,-10993111,-10991039,-7761515,-7301220,-6775133,-6380887,-5920594,-5592143,-5592658,-8225925,-8949393,-9541275,-7696492,-7301476,-6709852,-6249815,-5789776,-5592398,-5395021,-5329486,-5395282,-5855833,-7696750,-7170661,-6578781,-6184278,-5658448,-5395277,-5197898,-5132364,-5922140,-9672856,-7697008,-7105385,-6513503,-6184280,-7238512,-6780792,-5531238,-5133652,-7438466,-10397609,-8025974,-7697522,-6908263,-6645090,-11384503,-10468803,-8760497,-8628657,-9613755,-10465204,-7828851,-7368556,-6908261,-6513760,-7434864,-10528164,-10002850,-8225667,-8817805,-11450041,-8026232,-7631730,-7303021,-7039849,-6842727,-6842727,-7040107,-7435123,-7566709,-9145486,-8289661,-7960952,-7697780,-7566194,-7434866,-7500402,-7829624,-8619140,-8948106,-9276815,3
286,'2019/10/24 13:18:55:185',9,-8156275,-7893102,-7695980,-7499114,-7170407,-6973286,-7039337,-7171181,-7698555,-7302511,-8419446,-7958896,-7433064,-6775391,-5986644,-5591888,-7436152,-9480407,-10993105,-10464181,-7761515,-7301220,-6775133,-6380888,-5920594,-5592143,-5987417,-8752784,-9410459,-9804704,-7762028,-7235940,-6709852,-6249814,-5789777,-5592398,-5395277,-5329487,-5395282,-5856090,-7696750,-7170661,-6578781,-6184022,-5658448,-5395276,-5197899,-5132364,-5922396,-9738649,-7697009,-7105385,-6513247,-6118744,-7238512,-6781048,-5531238,-5133652,-7438467,-10397609,-8025974,-7697522,-6908262,-6645090,-11384504,-10534595,-8826033,-8694193,-9679548,-10399667,-7828851,-7368557,-6842725,-6513760,-7369328,-10527908,-9937314,-8225411,-8817549,-11384505,-8026232,-7631730,-7303021,-7039849,-6842727,-6777191,-7040108,-7435122,-7632245,-9145486,-8289661,-7960696,-7697780,-7566194,-7434865,-7500402,-7829624,-8619140,-8948106,-9276815,3
287,'2019/10/24 13:18:55:219',9,-8156019,-7893103,-7695979,-7564394,-7235943,-6907750,-7039080,-7105131,-7434611,-7236718,-8353910,-7959151,-7433064,-6775391,-5986645,-5591889,-7436667,-8756428,-10861256,-9805993,-7761515,-7301219,-6775389,-6380888,-5920850,-5592143,-6448483,-9279646,-10002854,-10199720,-7696492,-7235940,-6644316,-6249815,-5789777,-5592398,-5395276,-5395024,-5395282,-5921883,-7696750,-7170661,-6578781,-6184278,-5658192,-5395277,-5197898,-5132364,-5988189,-9804443,-7697009,-7105385,-6513247,-6118744,-7304049,-6781048,-5531238,-5133908,-7504259,-10463145,-7960438,-7697522,-6908262,-6645090,-11384504,-10534596,-8826034,-8694449,-9745084,-10465205,-7828852,-7368556,-6908262,-6513760,-7369072,-10527908,-10002593,-8159875,-8817549,-11449785,-8026232,-7631730,-7303021,-7039849,-6842728,-6777192,-7040107,-7435123,-7632245,-9079949,-8289661,-8026488,-7697781,-7566194,-7434866,-7434866,-7829624,-8619141,-8948106,-9277071,3
288,'2019/10/24 13:18:55:252',9,-8090739,-7893103,-7695980,-7499114,-7235943,-6907749,-7039079,-7039081,-7236718,-7236717,-8353654,-7959152,-7498601,-6775391,-5986389,-5592144,-7173752,-8097722,-10400445,-9213341,-7761515,-7301220,-6840669,-6380888,-5920595,-5592143,-6975341,-9609904,-10530227,-10529199,-7696492,-7236196,-6709852,-6249815,-5789776,-5592398,-5395278,-5395280,-5460819,-5987676,-7696750,-7170661,-6578781,-6184023,-5658448,-5395276,-5197899,-5132363,-5988189,-9870235,-7697008,-7105384,-6513502,-6118744,-7304305,-6781048,-5531238,-5133908,-7504259,-10463146,-7960438,-7697522,-6908263,-6645090,-11384504,-10600388,-8891826,-8759986,-9745341,-10465205,-7828851,-7368556,-6908262,-6513505,-7369071,-10462115,-10002593,-8159874,-8752012,-11450041,-8026232,-7631730,-7303021,-7039849,-6842727,-6842728,-7040108,-7435123,-7632246,-9079949,-8289661,-7960952,-7697780,-7566194,-7500402,-7500402,-7829624,-8619141,-8948106,-9277071,3
289,'2019/10/24 13:18:55:284',9,-8156275,-7893103,-7695980,-7564650,-7235944,-6973286,-6973544,-7039080,-7105388,-7170925,-8419190,-7959152,-7433064,-6775391,-5986389,-5592144,-6778737,-7636389,-9873586,-8752531,-7761515,-7301220,-6775133,-6380888,-5920851,-5592143,-7304565,-9873857,-10925758,-10923959,-7696492,-7236196,-6709852,-6249815,-5789777,-5592399,-5395277,-5395280,-5461075,-5987676,-7696751,-7170661,-6578781,-6184278,-5658448,-5395277,-5197899,-5132364,-5988190,-9870236,-7697009,-7170921,-6513502,-6184280,-7304305,-6781049,-5531238,-5133908,-7504260,-10528938,-8025974,-7697522,-6908263,-6645090,-11384247,-10665925,-8891827,-8759987,-9810878,-10465205,-7828852,-7368557,-6908262,-6513505,-7369070,-10462115,-9937057,-8159618,-8751756,-11384249,-8026232,-7631730,-7303021,-6974313,-6842727,-6842728,-7040108,-7435123,-7632246,-9079949,-8289405,-8026489,-7697781,-7566194,-7500402,-7500402,-7829624,-8619140,-8948106,-9276815,3
290,'2019/10/24 13:18:55:319',9,-8156275,-7893103,-7695979,-7499113,-7235943,-6973286,-6973287,-6973287,-7170667,-7170925,-8353654,-8024688,-7498600,-6775391,-5986645,-5591889,-6449000,-7241109,-9281191,-8423309,-7761515,-7301220,-6775389,-6380888,-5920850,-5592143,-7370872,-10071757,-11321031,-11187901,-7696492,-7235940,-6644316,-6249815,-5789777,-5592399,-5395277,-5461073,-5526869,-6053213,-7696750,-7170661,-6578781,-6184278,-5658448,-5395277,-5197899,-5132364,-6053726,-9870236,-7697008,-7170921,-6513247,-6184280,-7304306,-6781049,-5531238,-5133908,-7504516,-10528939,-7960438,-7697522,-6908262,-6645090,-11384247,-10666182,-8957619,-8760243,-9811133,-10530997,-7828852,-7368557,-6908262,-6513504,-7369071,-10462115,-9937057,-8159618,-8751756,-11450041,-8026232,-7631730,-7303021,-7039849,-6842727,-6842728,-7040107,-7435123,-7632246,-9079949,-8289661,-7960952,-7697780,-7566194,-7500402,-7500402,-7829624,-8619141,-8948106,-9277071,3
291,'2019/10/24 13:18:55:352',9,-8156275,-7893103,-7761516,-7564394,-7170663,-6973286,-6973287,-6973287,-7105131,-7236460,-8353654,-7959151,-7433064,-6775391,-6052181,-5591888,-6119776,-6846090,-8886178,-8357515,-7695979,-7301220,-6775133,-6380888,-5920850,-5592143,-7173236,-10138065,-11387341,-11451331,-7696492,-7235940,-6709852,-6249815,-5789777,-5592399,-5395277,-5526866,-5592661,-6053213,-7696750,-7170661,-6578781,-6184279,-5658448,-5395277,-5198155,-5132364,-5988189,-9804699,-7697009,-7105385,-6513503,-6184280,-7304305,-6781048,-5531238,-5133908,-7504260,-10528939,-8025974,-7697522,-6908263,-6645090,-11318711,-10666181,-8957619,-8760243,-9810878,-10530997,-7828852,-7368556,-6908261,-6513761,-7303535,-10396579,-9937057,-8159618,-8751755,-11450041,-8026232,-7631730,-7303021,-7039849,-6842727,-6842728,-7040108,-7435123,-7632245,-9079949,-8289661,-7960952,-7697780,-7566194,-7434865,-7500402,-7829624,-8619140,-8948106,-9277071,3
292,'2019/10/24 13:18:55:525',9,-8156275,-7893103,-7695980,-7499114,-7170407,-6973285,-6973287,-6973287,-7105131,-7170925,-8353654,-8024687,-7433064,-6775391,-6051925,-5591888,-5987677,-6714501,-8689059,-8555151,-7761515,-7366756,-6775389,-6380888,-5920851,-5592143,-6777963,-10203600,-11190223,-11517125,-7696492,-7235940,-6709853,-6249814,-5789776,-5592399,-5395277,-5526610,-5592661,-5987676,-7696750,-7170661,-6578781,-6184279,-5658448,-5395277,-5198155,-5132364,-5987932,-9804186,-7697008,-7170921,-6513503,-6184280,-7304305,-6781049,-5531238,-5133908,-7504260,-10528939,-7960438,-7697522,-6908263,-6645090,-11384247,-10666181,-8957363,-8759986,-9810878,-10530997,-7828852,-7368556,-6908261,-6513760,-7303279,-10396578,-9937056,-8159874,-8751755,-11450041,-8026488,-7631730,-7303021,-6974313,-6842727,-6777192,-7040108,-7435123,-7632246,-9079949,-8289661,-7960696,-7697780,-7566194,-7434865,-7500402,-7829624,-8619141,-8948106,-9277071,3
293,'2019/10/24 13:18:55:525',9,-8156275,-7893103,-7695980,-7564394,-7170407,-6907750,-6973286,-6973288,-7105131,-7170925,-8419190,-8024688,-7498601,-6775391,-5986389,-5591888,-5921626,-6977158,-8624044,-9016218,-7761515,-7301220,-6775389,-6380888,-5920850,-5592143,-6185311,-10071749,-10795211,-11385795,-7696492,-7235940,-6709853,-6249815,-5789777,-5592399,-5395277,-5461073,-5526869,-5921883,-7696750,-7170661,-6578781,-6184278,-5723984,-5395277,-5198155,-5132364,-5922396,-9738393,-7697008,-7170920,-6513503,-6118744,-7304305,-6781049,-5531495,-5133908,-7438723,-10528939,-8025974,-7697522,-6973799,-6645090,-11318710,-10665925,-8891826,-8694450,-9745342,-10530997,-7828852,-7368557,-6908262,-6513504,-7303278,-10462115,-9937056,-8159874,-8751755,-11450041,-8026488,-7631730,-7303021,-7039849,-6842727,-6777192,-7040107,-7435123,-7632245,-9079949,-8355197,-7960952,-7697780,-7566194,-7434866,-7500402,-7829624,-8619140,-8948106,-9276815,3
294,'2019/10/24 13:18:55:525',9,-8090483,-7893102,-7695980,-7564394,-7235943,-6973285,-6973287,-7039337,-7369591,-7631734,-8419190,-7959152,-7433064,-6775391,-6051925,-5657425,-5657939,-9084332,-9414879,-11123655,-7695979,-7301220,-6775389,-6380888,-5920850,-5526607,-5395022,-8291719,-9542562,-10199720,-7696492,-7236196,-6709853,-6315351,-5855313,-5592398,-5395021,-5329487,-5395282,-5790040,-7696750,-7170661,-6578781,-6184279,-5658192,-5395277,-5198155,-5132364,-5922139,-9607064,-7697008,-7171176,-6513503,-6184280,-7238512,-6846841,-5531494,-5133908,-7504259,-10529195,-8025974,-7697522,-6973799,-6645090,-11318710,-10534596,-8826033,-8563121,-9745342,-10530997,-7828852,-7368556,-6908262,-6513505,-7369071,-10462371,-9937057,-8225668,-8817548,-11450042,-8026488,-7631730,-7303021,-6974313,-6842727,-6842727,-7040108,-7435123,-7566709,-9145485,-8289405,-8026488,-7697780,-7566194,-7434865,-7500402,-7829624,-8619140,-8948106,-9277071,3
