@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
262,'2019/10/24 13:18:55:072',9,-8156275,-7893102,-7695979,-7564394,-7235943,-6907749,-6973287,-6973287,-7105131,-7170924,-8419190,-8024431,-7433064,-6775391,-5986389,-5591888,-6251105,-6977677,-8886179,-8357514,-7761515,-7301220,-6775133,-6380888,-5920594,-5592143,-6777962,-10137547,-11189963,-11451074,-7696492,-7235940,-6709852,-6249815,-5789521,-5592398,-5395277,-5461073,-5526869,-5921883,-7696750,-7170661,-6578780,-6184022,-5658191,-5395276,-5197899,-5132363,-5922140,-9607064,-7697008,-7170921,-6513247,-6118744,-6975339,-6780277,-5530724,-5199186,-7504002,-10463402,-8025973,-7697522,-6908263,-6645090,-11384504,-10008766,-8431533,-8365485,-9482426,-10399411,-7828851,-7368557,-6908262,-6513505,-7632243,-10922923,-10332072,-8488840,-8949135,-11515835,-8026232,-7631730,-7303021,-6974313,-6842727,-6777192,-7040108,-7435122,-7566709,-9145742,-8289661,-8026488,-7697780,-7566194,-7434865,-7434866,-7829624,-8619140,-8948106,-9276815,3
263,'2019/10/24 13:18:55:072',9,-8090483,-7893102,-7695980,-7564394,-7170408,-6907749,-6973287,-6907751,-7105131,-7170925,-8419190,-7959151,-7433064,-6775391,-5986389,-5591888,-5987676,-6780036,-8491681,-8357515,-7695979,-7301220,-6775133,-6380888,-5920594,-5592143,-6448740,-10203596,-11124174,-11582917,-7696492,-7301476,-6644317,-6249814,-5789776,-5592399,-5395277,-5461074,-5592661,-5921883,-7696750,-7170661,-6578781,-6184022,-5658192,-5395277,-5197899,-5132364,-5856604,-9606807,-7697009,-7170921,-6579039,-6118744,-6975083,-6780277,-5530724,-5133650,-7504002,-10463402,-7960437,-7697522,-6908262,-6645089,-11318711,-10008766,-8431533,-8299948,-9482426,-10399411,-7828851,-7368556,-6908261,-6513504,-7632243,-10988460,-10332072,-8489096,-8949135,-11515835,-8026231,-7631730,-7303021,-6974313,-6842727,-6777191,-7040107,-7435122,-7566709,-9145486,-8289405,-7960696,-7697780,-7566194,-7434866,-7434866,-7829624,-8618884,-8948106,-9276815,3
264,'2019/10/24 13:18:55:072',9,-8156275,-7893102,-7761516,-7564393,-7235943,-6973286,-6973287,-6973287,-7105131,-7170924,-8353654,-7958896,-7498600,-6775391,-5986389,-5591888,-5921369,-6779776,-8294562,-8555152,-7761515,-7301220,-6775133,-6380887,-5920850,-5592143,-6119261,-10137798,-10926799,-11583175,-7696492,-7235940,-6709852,-6249815,-5789777,-5592398,-5395277,-5461073,-5592405,-5856090,-7696750,-7170661,-6578781,-6184022,-5658192,-5395276,-5197899,-5132364,-5856347,-9475734,-7697008,-7170921,-6513247,-6118744,-6975083,-6846070,-5530724,-5199186,-7438209,-10463402,-7960438,-7697522,-6908263,-6645090,-11318711,-10008766,-8431533,-8299949,-9416634,-10399411,-7828851,-7368556,-6908262,-6513504,-7566707,-10923180,-10397608,-8489096,-8883599,-11450299,-8026232,-7631730,-7303021,-6974313,-6842727,-6842727,-7040108,-7435122,-7566709,-9145486,-8289661,-7960696,-7697780,-7500658,-7434865,-7434866,-7829624,-8619140,-8948105,-9276815,3
265,'2019/10/24 13:18:55:072',9,-8090483,-7893102,-7695979,-7498858,-7170407,-6973285,-6973287,-6973287,-7105131,-7236461,-8353654,-7958895,-7433064,-6775391,-5986388,-5591889,-5855575,-6977154,-8294824,-8884631,-7761515,-7301220,-6775133,-6380887,-5920850,-5526607,-5790038,-10005694,-10597835,-11451589,-7696492,-7235940,-6709852,-6249814,-5789777,-5592398,-5395021,-5461073,-5526868,-5855834,-7696750,-7170661,-6578782,-6184023,-5658192,-5395276,-5197899,-5132364,-5790810,-9475477,-7697008,-7105385,-6513502,-6118744,-6975083,-6780533,-5530724,-5133395,-7372673,-10463146,-7960438,-7697522,-6908262,-6645090,-11318711,-10008766,-8431533,-8299692,-9416634,-10399411,-7828851,-7368556,-6908261,-6513505,-7566707,-10988716,-10397608,-8489096,-8949135,-11515835,-8026231,-7631730,-7303021,-6974313,-6842727,-6842727,-7040108,-7435122,-7566709,-9079949,-8289405,-7960696,-7697780,-7566194,-7434866,-7434866,-7829624,-8619140,-8948106,-9276815,3
266,'2019/10/24 13:18:55:072',9,-8156275,-7893102,-7695980,-7564394,-7235943,-6907749,-6973287,-6973287,-7105131,-7236717,-8419190,-7958895,-7433064,-6775391,-5986389,-5591888,-5789783,-7306634,-8558002,-9411234,-7761515,-7301220,-6775133,-6380888,-5920594,-5591887,-5526609,-9741744,-10268355,-11253952,-7696491,-7235940,-6709852,-6249814,-5789777,-5592398,-5395021,-5395280,-5461075,-5790040,-7696750,-7170661,-6578781,-6184023,-5658191,-5395276,-5197899,-5132364,-5790554,-9409684,-7697008,-7170920,-6513503,-6118744,-6975083,-6846070,-5530724,-5198931,-7372673,-10463146,-8025974,-7697522,-6908262,-6645090,-11318711,-10008766,-8431532,-8299693,-9416634,-10399412,-7828851,-7368557,-6908262,-6513505,-7566451,-10922924,-10332072,-8489097,-8949135,-11450299,-8026232,-7631730,-7303021,-6974313,-6842727,-6777191,-7040108,-7435122,-7632245,-9145742,-8289405,-7960697,-7697780,-7500658,-7434865,-7434866,-7829624,-8619140,-8948106,-9276815,3
267,'2019/10/24 13:18:55:072',9,-8156275,-7893103,-7695979,-7498857,-7235943,-6973286,-6973287,-6973287,-7105388,-7236718,-8353654,-7959152,-7433064,-6775391,-6051924,-5591888,-5789782,-7833751,-8690367,-10003886,-7695979,-7301220,-6775133,-6380888,-5920594,-5592143,-5460815,-9411746,-10070457,-10924729,-7696492,-7235940,-6644316,-6249814,-5789777,-5592399,-5395021,-5395024,-5461075,-5724504,-7696750,-7170661,-6578781,-6184022,-5658192,-5395276,-5197898,-5132364,-5790554,-9409684,-7697008,-7170920,-6513246,-6118744,-6975083,-6846070,-5530724,-5133650,-7372416,-10463146,-8025974,-7697522,-6908262,-6645090,-11318710,-10074302,-8431533,-8299692,-9416633,-10399411,-7828851,-7368557,-6908262,-6513504,-7566450,-10922924,-10332072,-8489097,-8949135,-11515834,-8026232,-7631730,-7303021,-6974313,-6842727,-6842727,-7040108,-7435122,-7566709,-9145742,-8289661,-7960696,-7697780,-7500658,-7434865,-7500402,-7829624,-8553604,-8948106,-9276815,3
268,'2019/10/24 13:18:55:072',9,-8090739,-7893103,-7695979,-7564394,-7235943,-6973286,-6973287,-6973544,-7171438,-7302511,-8419190,-7959152,-7498600,-6775391,-5986389,-5591888,-5789782,-8426148,-9019594,-10398902,-7695979,-7301220,-6775133,-6380888,-5920594,-5592143,-5395278,-9082009,-9872558,-10661042,-7696492,-7236196,-6709852,-6249814,-5789776,-5592399,-5395020,-5395023,-5460819,-5724248,-7696750,-7170661,-6578780,-6184023,-5658191,-5395276,-5197899,-5132364,-5790554,-9409684,-7697008,-7170921,-6578782,-6118744,-6975083,-6846070,-5530980,-5133650,-7372416,-10463146,-8025974,-7697522,-6908262,-6645090,-11318711,-10074302,-8431532,-8299692,-9416633,-10399411,-7828851,-7368557,-6908262,-6513504,-7566450,-10922923,-10331816,-8489096,-8949135,-11450299,-8026232,-7631730,-7303021,-6974313,-6842727,-6777191,-7040108,-7435122,-7566709,-9145742,-8289405,-7960696,-7697780,-7566194,-7434865,-7500402,-7829624,-8619140,-8948106,-9276815,3
269,'2019/10/24 13:18:55:072',9,-8090483,-7893103,-7695980,-7564394,-7235943,-6973285,-6973543,-7039081,-7237489,-7368303,-8353654,-7959152,-7498601,-6775391,-5986389,-5591889,-5855576,-8821680,-9414353,-10531001,-7761515,-7301220,-6775133,-6380888,-5920595,-5526607,-5460816,-8950164,-9740199,-10463150,-7696492,-7235940,-6644316,-6249814,-5789777,-5592399,-5395021,-5329487,-5395282,-5724248,-7696750,-7105125,-6578781,-6184022,-5658191,-5395276,-5197899,-5132364,-5790554,-9475477,-7697008,-7105385,-6578783,-6118744,-6975083,-6846070,-5530980,-5133650,-7437952,-10463146,-7960438,-7697523,-6908263,-6645090,-11318711,-10074303,-8431533,-8299949,-9482170,-10399412,-7828852,-7368557,-6908261,-6513504,-7566451,-10857130,-10266279,-8488840,-8949135,-11515834,-8026232,-7631730,-7303021,-6974313,-6842727,-6777192,-7040108,-7435123,-7566709,-9145742,-8289661,-7960953,-7697780,-7500658,-7434865,-7434866,-7829624,-8619140,-8948106,-9276815,3
270,'2019/10/24 13:18:55:072',9,-8090483,-7893102,-7695980,-7498858,-7235943,-6907750,-6973543,-7039337,-7303283,-7302511,-8353654,-7959151,-7433064,-6775391,-5986389,-5591888,-6053212,-8953528,-9677778,-10530744,-7761515,-7301220,-6775133,-6380888,-5920594,-5526607,-5526609,-9015957,-9740197,-10331563,-7696492,-7235940,-6644316,-6249815,-5789776,-5592398,-5395021,-5395023,-5395283,-5724504,-7762286,-7170661,-6578781,-6184278,-5658191,-5395277,-5197898,-5132364,-5790810,-9541014,-7697008,-7105385,-6513247,-6118744,-7040876,-6846070,-5530980,-5199187,-7438209,-10463402,-8025974,-7697522,-6908263,-6645091,-11318711,-10074559,-8431789,-8299949,-9416635,-10399411,-7828852,-7368556,-6908261,-6513504,-7566450,-10857130,-10266279,-8488840,-8949391,-11450298,-8026232,-7631730,-7303021,-7039849,-6842727,-6842728,-7040108,-7435122,-7566709,-9145742,-8289661,-7960696,-7697780,-7566194,-7434865,-7434866,-7829624,-8619140,-8948106,-9276815,3
271,'2019/10/24 13:18:55:073',9,-8156019,-7893102,-7695980,-7564393,-7235943,-6973286,-7039079,-7039337,-7303282,-7236718,-8353654,-7959152,-7433064,-6775391,-5986389,-5591888,-6382435,-8821947,-9874894,-10332850,-7761515,-7301220,-6775389,-6380888,-5920594,-5592143,-5724245,-9213852,-9937576,-10397356,-7696492,-7235940,-6709852,-6249814,-5789777,-5592398,-5329485,-5395024,-5460818,-5790041,-7696750,-7170661,-6578781,-6118742,-5658192,-5395276,-5197898,-5132364,-5856346,-9606807,-7697009,-7170921,-6513503,-6118744,-7040876,-6846070,-5530980,-5133651,-7438209,-10528938,-7960438,-7697522,-6908262,-6645090,-11384504,-10140095,-8497326,-8365485,-9482427,-10399412,-7828852,-7368557,-6908261,-6513504,-7566450,-10791338,-10266022,-8423303,-8949135,-11515834,-8026232,-7631730,-7303021,-6974313,-6842727,-6842728,-7040108,-7435122,-7566709,-9145742,-8289661,-8026489,-7697780,-7566194,-7434865,-7500402,-7829624,-8619140,-8948106,-9276814,3
